2014	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
28	64	62	60	54	53	50	77	-	52	13	-	2	30.04	-	29.89	-	0	-
29	66	62	59	55	52	49	77	-	48	12	-	0	29.97	-	29.83	-	0	-
30	66	62	59	54	53	50	77	-	54	10	-	4	30.03	-	29.92	-	0	-
31	67	64	60	55	53	50	73	-	57	14	-	4	30.03	-	29.89	-	0	-
2015	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Sep	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	67	64	62	55	53	52	73	-	51	9	-	2	30.09	-	29.98	-	0	-
2	67	64	61	57	54	52	77	-	52	16	-	2	30.04	-	29.92	-	0	-
3	68	65	62	57	55	54	77	-	58	17	-	2	30.01	-	29.92	-	0	-
4	68	64	61	57	56	55	82	-	59	17	-	5	30.01	-	29.89	-	0	-
5	66	64	62	58	56	54	82	-	64	13	-	4	30.06	-	29.92	-	0	-
6	67	64	60	57	55	52	82	-	54	16	-	4	30.06	-	29.95	-	0	-
7	68	65	62	57	55	52	82	-	49	17	-	6	30.07	-	29.95	-	0	-
8	66	62	58	54	53	50	72	-	54	15	-	5	30.04	-	29.92	-	0	-
9	66	63	60	54	51	49	68	-	47	12	-	0	30.05	-	29.95	-	0	-
10	66	62	57	54	51	48	77	-	50	17	-	0	30.06	-	29.98	-	0	-
11	66	62	59	54	52	50	77	-	52	14	-	0	30.07	-	29.95	-	0	-
12	66	62	59	57	53	50	77	-	54	14	-	4	30.06	-	29.92	-	0	-
13	66	63	60	55	53	51	73	-	55	12	-	2	29.99	-	29.86	-	0	-
14	68	64	61	56	54	52	73	-	53	13	-	4	29.98	-	29.86	-	0	-
15	65	65	64	54	54	54	68	-	59	5	-	5	30.05	-	30.04	-	0	-
16	70	66	63	57	54	50	77	-	47	18	-	0	30.06	-	29.95	-	0	-
17	65	64	62	57	55	54	82	-	60	17	-	6	30.05	-	29.95	-	0	-
18	68	64	61	55	53	50	77	-	50	16	-	0	30.04	-	29.92	-	0	-
19	66	64	62	55	53	52	77	-	54	13	-	4	30.01	-	29.83	-	0	-
20	67	64	61	55	54	54	77	-	55	8	-	2	30.01	-	29.86	-	0	-
21	68	65	62	55	53	50	68	-	48	13	-	0	30.01	-	29.89	-	0	-
22	68	65	62	55	53	52	73	-	49	15	-	4	29.99	-	29.89	-	0	-
23	67	64	60	54	53	52	77	-	51	20	-	0	30.08	-	29.92	-	0	-
24	67	64	61	55	54	51	77	-	52	22	-	0	30.09	-	29.92	-	0	-
25	67	64	61	55	52	48	77	-	45	14	-	0	30.08	-	29.95	-	0	-
26	68	65	62	54	51	48	68	-	45	16	-	4	30.11	-	30.01	-	0	-
27	66	62	59	54	51	46	72	-	50	14	-	0	30.09	-	29.92	-	0	-
28	66	64	61	54	52	50	68	-	47	13	-	4	29.98	-	29.86	-	0	-
29	68	65	62	56	54	52	73	-	56	12	-	2	29.96	-	29.88	-	0	-
30	69	66	62	55	53	50	68	-	45	12	-	4	29.99	-	29.86	-	0	-
2015	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Oct	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	68	64	60	55	54	52	73	-	51	14	-	2	30.01	-	29.92	-	0	-
2	67	64	61	57	56	54	77	-	59	14	-	5	29.99	-	29.89	-	0	-
3	68	66	63	57	56	55	77	-	56	16	-	0	29.99	-	29.86	-	0	-
4	68	66	63	59	55	53	78	-	52	16	-	2	30.04	-	29.95	-	0	-
5	68	66	63	57	55	53	77	-	52	15	-	0	30.01	-	29.92	-	0	-
6	69	66	63	58	55	52	77	-	44	15	-	0	30.08	-	29.95	-	0	-
7	67	64	62	57	56	55	77	-	60	18	-	8	30.06	-	29.92	-	0	-
8	66	64	62	57	56	54	82	-	58	17	-	5	30.08	-	29.95	-	0	-
9	67	64	62	57	55	54	82	-	57	18	-	0	30.09	-	30.01	-	0	-
10	68	64	61	56	55	52	77	-	49	17	-	0	30.1	-	30.01	-	0	-
11	67	64	61	56	53	51	70	-	49	18	-	7	30.06	-	29.95	-	0	-
12	66	64	61	54	52	51	72	-	51	14	-	2	30.06	-	29.98	-	0	-
13	66	64	61	54	51	48	68	-	48	13	-	4	30.07	-	29.98	-	0	-
14	67	62	58	54	51	46	72	-	45	24	-	4	30.11	-	30.01	-	0	-
15	66	62	58	54	52	48	72	-	51	17	-	2	30.05	-	29.89	-	0	-
16	68	65	62	55	52	48	77	-	42	20	-	0	30.05	-	29.95	-	0	-
17	66	62	57	55	53	49	77	-	53	22	-	0	30.01	-	29.89	-	0	-
18	69	66	62	59	56	54	83	-	54	12	-	2	30.04	-	29.95	-	0	-
19	69	66	64	59	58	57	83	-	61	20	-	0	30.13	-	29.98	-	0	-
20	67	63	59	59	57	54	88	-	61	18	-	0	30.05	-	29.92	-	0	-
21	67	64	61	59	56	55	83	-	62	18	-	4	30	-	29.89	-	0	-
22	69	66	63	57	55	53	82	-	51	18	-	2	30.04	-	29.89	-	0	-
23	65	64	62	57	54	53	77	-	56	10	-	0	30.06	-	29.95	-	0	-
24	70	65	60	59	55	52	78	-	52	20	-	0	30.06	-	29.95	-	0	-
25	68	64	60	57	56	54	82	-	55	17	-	4	30.05	-	29.92	-	0	-
26	68	64	61	59	56	55	82	-	58	18	-	0	30.05	-	29.92	-	0	-
27	69	66	63	57	55	52	77	-	49	16	-	4	30.06	-	29.95	-	0	-
28	68	66	63	57	55	52	77	-	52	20	-	2	30.12	-	29.95	-	0	-
29	69	66	62	56	54	50	77	-	45	21	-	2	30.15	-	29.98	-	0	-
30	67	64	60	57	55	52	82	-	55	15	-	0	30.05	-	29.95	-	0	-
31	70	66	63	57	53	52	77	-	44	12	-	0	30.06	-	29.98	-	0	-
2015	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Nov	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	69	66	64	56	53	50	73	-	42	13	-	4	30.07	-	29.95	-	0	-
2	70	66	63	55	52	50	73	-	40	16	-	2	30.07	-	29.98	-	0	-
3	71	67	63	57	53	49	73	-	41	18	-	2	30.15	-	29.98	-	0	-
4	69	64	59	57	53	45	77	-	47	25	-	4	30.16	-	29.95	-	0	-
5	71	66	62	58	54	51	82	-	48	18	-	0	30.09	-	29.98	-	0	-
6	68	64	61	55	53	50	68	-	48	14	-	5	30.07	-	29.95	-	0	-
7	70	67	64	57	52	48	73	-	41	21	-	5	30.07	-	29.89	-	0	-
8	69	66	63	55	53	50	73	-	46	16	-	2	30.01	-	29.92	-	0	-
9	70	67	64	55	53	50	73	-	40	17	-	2	30.08	-	29.98	-	0	-
10	69	66	62	55	54	52	77	-	47	30	-	4	30.08	-	29.68	-	0	-
11	69	64	59	56	54	50	77	-	47	18	-	2	30.04	-	29.92	-	0	-
12	69	65	61	57	54	51	73	-	51	20	-	1	30.02	-	29.89	-	0	-
13	68	66	63	56	53	50	73	-	47	13	-	4	30	-	29.83	-	0	-
14	70	67	64	57	55	53	73	-	48	13	-	0	29.95	-	29.86	-	0	-
15	71	65	61	56	54	52	67	-	45	14	-	2	29.96	-	29.88	-	0	-
16	70	67	64	58	55	54	70	-	48	15	-	6	29.98	-	29.89	-	0	-
17	70	68	65	57	54	51	73	-	40	21	-	2	29.98	-	29.83	-	0	-
18	71	68	65	57	55	53	73	-	44	17	-	0	30.01	-	29.89	-	0	-
19	70	68	65	57	55	54	73	-	49	15	-	0	30.05	-	29.92	-	0	-
20	70	68	65	57	54	50	73	-	44	13	-	4	30.03	-	29.88	-	0.79	-
21	70	68	65	57	54	52	73	-	47	20	-	4	29.98	-	29.86	-	0	-
22	70	64	59	57	55	52	77	-	57	15	-	5	29.98	-	29.83	-	0	-
23	70	66	61	57	55	52	73	-	51	18	-	0	30	-	29.83	-	0	-
24	71	67	63	56	55	53	68	-	47	12	-	0	30.01	-	29.83	-	0	-
25	71	66	62	59	57	53	73	-	56	20	-	0	30.01	-	29.89	-	0	-
26	72	68	64	61	58	55	78	-	53	20	-	5	30.01	-	29.92	-	0	-
27	72	67	62	59	57	54	83	-	45	17	-	2	30.02	-	29.86	-	0	-
28	72	69	66	59	57	54	73	-	42	15	-	4	29.96	-	29.83	-	0	-
29	72	68	64	59	56	53	73	-	45	15	-	4	29.97	-	29.86	-	0	-
30	73	69	65	58	55	52	73	-	43	16	-	0	29.97	-	29.86	-	0	-
2015	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Dec	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	72	68	65	59	56	54	78	-	44	15	-	0	29.95	-	29.83	-	0	-
2	72	69	66	57	55	54	73	-	44	17	-	5	29.99	-	29.86	-	0	-
3	72	68	64	58	55	52	68	-	45	15	-	2	30.01	-	29.89	-	0	-
4	72	69	66	58	56	54	68	-	44	17	-	6	30.02	-	29.91	-	0	-
5	73	70	66	59	56	54	78	-	45	13	-	2	30.02	-	29.92	-	0	-
6	73	68	64	57	56	54	68	-	46	14	-	2	30.03	-	29.89	-	0	-
7	73	68	63	59	57	54	73	-	49	13	-	0	29.96	-	29.8	-	0	-
8	75	72	68	61	57	54	73	-	41	13	-	5	30.01	-	29.86	-	0	-
9	75	72	68	63	59	55	83	-	44	16	-	7	30.04	-	29.95	-	0	-
10	75	69	63	61	58	52	73	-	45	16	-	0	30.04	-	29.89	-	0	-
11	74	68	63	61	59	55	73	-	55	18	-	6	29.99	-	29.65	-	0	-
12	74	70	67	61	58	55	73	-	48	12	-	0	29.98	-	29.86	-	0	-
13	75	71	67	63	59	54	78	-	44	20	-	0	29.99	-	29.83	-	0	-
14	75	72	69	59	57	55	68	-	45	15	-	0	29.98	-	29.86	-	0	-
15	77	73	68	61	56	53	78	-	36	16	-	4	29.99	-	29.86	-	0	-
16	73	68	64	61	58	54	78	-	50	17	-	2	29.98	-	29.86	-	0	-
17	0	0	0	0	0	0	0	-	0	0	-	0	0	-	0	-	0	-
20	73	71	68	59	58	57	73	-	60	15	-	5	29.98	-	29.89	-	0	-
21	75	68	62	59	57	54	73	-	47	17	-	2	29.99	-	29.83	-	0	-
22	74	70	66	59	57	54	73	-	46	21	-	4	29.96	-	29.8	-	0	-
23	72	69	66	59	58	55	78	-	44	20	-	2	29.94	-	29.8	-	0	-
24	73	70	66	59	57	55	78	-	47	15	-	2	29.92	-	29.8	-	0	-
25	72	68	65	62	58	57	73	-	54	17	-	0	29.92	-	29.8	-	0	-
26	72	68	64	61	59	55	78	-	53	10	-	0	29.89	-	29.77	-	0	-
27	74	70	67	61	59	57	78	-	51	16	-	0	29.86	-	29.74	-	0	-
28	73	70	66	61	58	57	78	-	47	15	-	2	29.95	-	29.8	-	0	-
29	73	69	65	59	57	54	78	-	48	18	-	4	29.99	-	29.89	-	0	-
30	72	69	66	59	57	54	73	-	46	17	-	2	30.01	-	29.86	-	0	-
31	72	70	67	59	56	54	73	-	45	15	-	2	29.95	-	29.8	-	0	-
2016	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Jan	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	73	68	64	59	56	54	68	-	46	13	-	0	29.92	-	29.83	-	0	-
2	74	70	67	59	57	55	68	-	44	12	-	1	29.98	-	29.89	-	0	-
3	73	69	65	63	59	54	73	-	52	17	-	0	29.95	-	29.86	-	0	-
4	75	70	65	63	59	55	78	-	53	16	-	0	29.98	-	29.89	-	0	-
5	77	72	68	63	61	59	78	-	57	15	-	0	30.04	-	29.95	-	0	-
6	75	70	66	63	60	54	78	-	61	18	-	0	30.04	-	29.95	-	0	-
7	76	71	66	64	62	59	78	-	61	18	-	5	30.01	-	29.89	-	0	-
8	76	72	68	63	61	57	78	-	54	20	-	1	29.98	-	29.86	-	0	-
9	76	72	69	63	60	57	73	-	49	17	-	0	30.01	-	29.89	-	0	-
10	75	72	68	63	59	57	73	-	50	17	-	0	30.01	-	29.89	-	0	-
11	76	72	69	63	60	57	73	-	43	15	-	5	30.04	-	29.92	-	0	-
12	75	70	66	61	59	57	73	-	53	16	-	1	30.04	-	29.95	-	0	-
13	75	70	65	61	59	57	78	-	57	17	-	0	30.04	-	29.95	-	0	-
14	75	70	65	61	58	55	78	-	43	20	-	0	30.04	-	29.92	-	0	-
15	77	72	66	59	57	55	73	-	46	17	-	4	30.01	-	29.86	-	0	-
16	77	72	66	61	57	55	69	-	37	15	-	2	29.98	-	29.86	-	0	-
17	77	74	70	61	60	57	69	-	47	8	-	0	29.98	-	29.92	-	0	-
18	77	72	68	63	59	57	73	-	49	14	-	0	29.98	-	29.89	-	0	-
19	76	72	67	64	61	57	78	-	53	18	-	0	29.95	-	29.86	-	0	-
20	76	72	68	64	62	59	78	-	52	16	-	2	29.98	-	29.89	-	0	-
21	77	74	71	63	60	57	73	-	48	17	-	0	30.01	-	29.92	-	0	-
22	77	72	67	61	57	53	65	-	44	16	-	2	30.01	-	29.86	-	0	-
23	78	74	70	63	59	57	69	-	42	17	-	4	29.98	-	29.86	-	0	-
24	76	71	66	63	60	57	73	-	47	16	-	4	29.95	-	29.83	-	0	-
25	79	75	71	64	62	57	78	-	47	15	-	4	30.04	-	29.92	-	0	-
26	81	76	70	63	59	55	73	-	34	16	-	2	30.04	-	29.95	-	0	-
27	77	72	67	65	61	54	78	-	42	20	-	4	30.01	-	29.8	-	0	-
28	77	72	67	64	61	57	73	-	49	16	-	1	29.95	-	29.83	-	0	-
29	79	74	68	63	61	59	73	-	44	16	-	0	29.98	-	29.89	-	0	-
30	81	76	71	63	60	57	69	-	41	16	-	0	29.98	-	29.89	-	0	-
31	80	76	71	63	60	54	73	-	42	15	-	0	30.01	-	29.89	-	0	-
2016	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Feb	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	79	74	70	63	60	57	65	-	40	16	-	0	30.01	-	29.83	-	0	-
2	78	73	68	63	59	55	69	-	46	16	-	2	29.95	-	29.83	-	0	-
3	79	74	69	63	59	57	69	-	43	16	-	0	29.95	-	29.86	-	0	-
4	79	73	67	64	60	55	73	-	43	17	-	0	29.98	-	29.86	-	0	-
5	78	72	67	65	61	45	73	-	36	17	-	0	29.98	-	29.86	-	0	-
6	77	72	68	64	62	57	73	-	46	21	-	6	29.98	-	29.89	-	0	-
7	77	74	70	64	63	61	78	-	57	21	-	5	29.95	-	29.86	-	0	-
8	78	73	68	63	60	57	73	-	44	21	-	4	29.98	-	29.86	-	0	-
9	78	74	69	61	59	57	65	-	41	22	-	0	29.98	-	29.86	-	0	-
10	77	73	69	60	58	55	68	-	47	17	-	0	29.98	-	29.89	-	0	-
11	76	73	70	61	58	55	69	-	46	17	-	5	30.01	-	29.83	-	0	-
12	78	73	68	63	59	57	69	-	43	15	-	0	29.98	-	29.86	-	0	-
13	79	75	71	64	60	57	73	-	40	16	-	2	29.98	-	29.86	-	0	-
14	77	72	67	63	60	55	78	-	44	18	-	6	29.92	-	29.74	-	0	-
15	78	73	68	60	59	57	68	-	43	15	-	2	29.86	-	29.74	-	0	-
16	77	73	69	63	60	57	69	-	43	18	-	5	29.86	-	29.74	-	0	-
17	79	74	69	63	60	57	73	-	42	13	-	0	29.92	-	29.8	-	0	-
18	78	74	69	63	59	57	69	-	40	20	-	4	29.95	-	29.86	-	0	-
19	77	72	68	64	62	59	78	-	45	21	-	8	29.95	-	29.77	-	0	-
20	77	74	70	63	61	60	78	-	47	14	-	4	29.86	-	29.74	-	0	-
21	79	75	71	63	60	59	69	-	49	16	-	6	29.83	-	29.74	-	0	-
22	81	76	72	64	61	58	65	-	43	13	-	4	29.86	-	29.8	-	0	-
23	83	78	72	70	65	63	73	-	46	20	-	7	29.95	-	29.8	-	0	-
24	82	77	72	66	63	61	78	-	39	22	-	7	29.95	-	29.83	-	0	-
25	79	74	70	66	64	63	78	-	51	18	-	6	29.92	-	29.83	-	0	-
26	82	76	70	66	63	61	83	-	46	17	-	4	29.92	-	29.83	-	0	-
27	81	75	69	66	62	59	69	-	44	15	-	0	29.95	-	29.83	-	0	-
28	80	76	72	66	63	59	69	-	44	20	-	0	29.95	-	29.86	-	0	-
29	82	76	70	66	64	61	83	-	44	20	-	0	29.98	-	29.86	-	0	-
2016	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Mar	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	81	76	70	64	63	61	78	-	44	18	-	0	29.95	-	29.83	-	0	-
2	77	74	72	66	64	61	73	-	51	16	-	4	29.95	-	29.89	-	0	-
3	78	73	68	63	60	59	69	-	45	16	-	0	29.95	-	29.83	-	0	-
4	77	73	69	63	60	59	73	-	43	14	-	0	29.98	-	29.89	-	0	-
5	78	73	68	63	60	57	69	-	44	13	-	0	29.98	-	29.89	-	0	-
6	80	74	68	63	60	57	78	-	42	18	-	0	30.01	-	29.89	-	0	-
7	79	74	68	63	60	59	78	-	44	18	-	0	30.04	-	29.92	-	0	-
8	78	72	67	63	60	57	73	-	43	20	-	0	30.01	-	29.89	-	0	-
9	78	72	66	63	60	57	78	-	45	20	-	0	29.98	-	29.86	-	0	-
10	77	72	66	64	60	57	78	-	47	16	-	0	30.01	-	29.92	-	0	-
11	77	72	68	63	61	59	78	-	48	18	-	4	30.01	-	29.89	-	0	-
12	80	76	71	63	60	59	69	-	48	17	-	4	30.01	-	29.89	-	0	-
13	77	72	68	63	60	58	73	-	43	21	-	0	30.01	-	29.89	-	0	-
14	77	72	66	61	59	57	73	-	45	17	-	0	29.98	-	29.89	-	0	-
15	77	72	66	62	59	57	73	-	43	20	-	0	30.01	-	29.86	-	0	-
16	77	71	65	61	58	55	69	-	43	17	-	0	30.04	-	29.89	-	0	-
17	78	74	69	61	59	57	68	-	48	23	-	0	30.01	-	29.86	-	0	-
18	78	72	67	61	58	55	68	-	42	16	-	0	29.95	-	29.86	-	0	-
19	78	72	66	63	58	55	73	-	37	17	-	0	29.95	-	29.86	-	0	-
20	77	72	66	63	59	55	83	-	43	20	-	4	29.98	-	29.86	-	0	-
21	77	71	65	63	60	57	83	-	50	23	-	2	29.98	-	29.89	-	0	-
22	76	71	66	63	60	57	78	-	51	16	-	0	29.98	-	29.89	-	0	-
23	77	73	68	63	61	59	78	-	49	17	-	4	29.98	-	29.92	-	0	-
24	76	71	66	61	57	52	83	-	41	20	-	5	29.98	-	29.86	-	0	-
25	74	68	62	61	56	54	73	-	43	17	-	5	29.89	-	29.8	-	0	-
26	74	68	63	61	58	54	78	-	52	20	-	2	29.98	-	29.86	-	0	-
27	74	70	65	61	58	55	78	-	48	16	-	2	30.04	-	29.95	-	0	-
28	76	70	64	61	57	55	78	-	47	18	-	0	30.01	-	29.89	-	0	-
29	77	72	66	61	59	55	78	-	43	17	-	0	30.01	-	29.92	-	0	-
30	77	71	65	64	60	57	83	-	43	22	-	1	29.98	-	29.92	-	0	-
31	75	70	64	61	59	59	83	-	52	17	-	0	30.04	-	29.92	-	0	-
2016	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Apr	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	79	72	65	63	59	57	73	-	44	16	-	0	30.04	-	29.95	-	0	-
2	75	70	64	61	58	55	73	-	52	21	-	0	30.01	-	29.86	-	0	-
3	75	70	64	63	60	55	83	-	53	20	-	0	30.04	-	29.92	-	0	-
4	73	69	65	63	61	59	83	-	55	17	-	0	30.04	-	29.95	-	0	-
5	74	70	65	63	61	57	83	-	53	20	-	0	30.01	-	29.92	-	0	-
6	74	70	65	64	62	59	88	-	53	16	-	1	30.01	-	29.89	-	0	-
7	73	68	64	63	62	59	88	-	55	21	-	0	29.98	-	29.83	-	0	-
8	72	70	66	63	62	59	83	-	59	31	-	0	29.98	-	29.83	-	0	-
9	70	68	65	61	59	57	83	-	58	20	-	4	29.96	-	29.86	-	0	-
10	68	66	64	59	58	55	83	-	62	14	-	4	30.01	-	29.89	-	0	-
11	74	69	64	59	57	55	78	-	51	13	-	0	30.04	-	29.92	-	0	-
12	75	70	65	59	56	54	73	-	44	17	-	4	30.06	-	29.98	-	0	-
13	71	66	62	61	58	54	83	-	60	22	-	5	30.04	-	29.92	-	0	-
14	71	66	60	59	58	55	82	-	60	13	-	0	29.98	-	29.89	-	0	-
15	71	66	62	59	57	55	83	-	57	12	-	2	29.92	-	29.83	-	0	-
16	69	64	60	59	56	54	77	-	60	15	-	2	29.95	-	29.86	-	0	-
17	73	68	62	61	58	54	83	-	57	18	-	0	30.01	-	29.89	-	0	-
18	73	70	66	63	59	57	83	-	61	20	-	0	30.04	-	29.92	-	0	-
19	69	66	62	61	59	55	83	-	68	18	-	0	30.04	-	29.95	-	0	-
20	71	66	60	59	57	54	88	-	57	20	-	0	30.04	-	29.89	-	0	-
21	68	64	59	59	56	54	83	-	68	16	-	0	30.01	-	29.86	-	0	-
22	73	68	62	59	55	54	73	-	53	16	-	0	30.01	-	29.92	-	0	-
23	69	64	59	57	54	50	77	-	56	17	-	0	30.04	-	29.95	-	0	-
24	71	66	62	55	54	52	73	-	53	17	-	0	30.04	-	29.95	-	0	-
25	71	65	59	59	55	52	77	-	56	16	-	0	30.04	-	29.95	-	0	-
26	69	66	64	59	57	55	77	-	60	15	-	4	30.01	-	29.86	-	0	-
27	71	68	64	59	56	54	73	-	56	14	-	0	30.01	-	29.89	-	0	-
28	71	66	61	57	55	52	73	-	50	13	-	0	30.09	-	29.95	-	0	-
29	70	66	62	59	56	54	78	-	48	18	-	0	30.06	-	29.89	-	0	-
30	70	64	59	59	56	54	82	-	55	15	-	0	29.98	-	29.83	-	0	-
2016	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
May	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	73	68	63	59	57	55	77	-	56	14	-	4	30.01	-	29.95	-	0	-
2	71	67	63	61	56	54	81	-	50	20	-	7	30.04	-	29.95	-	0	-
3	70	66	61	59	57	56	77	-	55	16	-	0	30.04	-	29.92	-	0	-
4	71	68	64	59	57	57	78	-	52	10	-	0	30.04	-	29.92	-	0	-
5	70	67	64	59	57	55	83	-	53	17	-	0	30.04	-	29.95	-	0	-
6	69	65	61	57	56	53	82	-	55	18	-	2	30.04	-	29.92	-	0	-
7	71	66	61	58	55	52	82	-	55	16	-	0	30.04	-	29.95	-	0	-
8	71	66	60	59	54	52	78	-	44	9	-	0	30.01	-	29.92	-	0	-
9	71	66	60	59	54	52	83	-	47	14	-	4	30.04	-	29.95	-	0	-
10	70	64	59	59	56	52	78	-	57	17	-	1	30.06	-	29.95	-	0	-
11	73	68	62	61	57	54	88	-	44	18	-	0	30.06	-	29.98	-	0	-
12	69	64	58	61	58	54	94	-	68	18	-	2	30.01	-	29.86	-	0	-
13	70	66	61	59	58	57	88	-	58	13	-	0	30.01	-	29.89	-	0	-
14	70	67	62	57	56	54	77	-	50	20	-	0	30.04	-	29.95	-	0	-
15	68	64	60	57	55	54	82	-	52	17	-	0	30.04	-	29.92	-	0	-
16	68	64	60	55	55	54	77	-	57	12	-	0	30.01	-	29.92	-	0	-
17	68	66	63	55	53	52	73	-	52	13	-	2	30.06	-	29.95	-	0	-
18	69	65	60	54	52	50	68	-	56	10	-	1	30.04	-	29.95	-	0	-
19	67	63	59	55	53	50	77	-	54	15	-	4	30.04	-	29.95	-	0	-
20	68	62	57	55	53	48	82	-	46	17	-	0	30.04	-	29.95	-	0	-
21	66	60	55	57	53	48	82	-	52	17	-	4	30.06	-	29.98	-	0	-
22	66	61	56	55	53	50	82	-	57	16	-	0	30.04	-	29.86	-	0	-
23	68	64	60	55	54	52	77	-	56	8	-	2	30.04	-	29.92	-	0	-
24	66	64	61	55	53	51	77	-	51	14	-	0	30.09	-	30.01	-	0	-
25	67	64	62	55	53	51	77	-	52	12	-	0	30.12	-	30.01	-	0	-
26	66	64	61	55	54	52	77	-	48	16	-	2	30.09	-	29.95	-	0	-
27	67	64	62	54	53	52	72	-	52	8	-	0	30.06	-	29.95	-	0	-
28	68	64	59	55	53	50	77	-	50	15	-	0	30.12	-	29.98	-	0	-
29	67	64	61	57	53	51	77	-	54	13	-	1	30.12	-	30.01	-	0	-
30	66	62	59	55	54	51	77	-	58	9	-	0	30.09	-	29.98	-	0	-
31	66	64	61	57	55	53	77	-	56	15	-	0	30.01	-	29.92	-	0	-
2016	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Jun	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	64	48	32	57	53	27	82	-	62	18	-	5	30.12	-	29.95	-	0	-
2	66	61	56	57	56	53	88	-	68	9	-	0	30.06	-	29.92	-	0	-
3	66	63	60	57	55	54	88	-	62	10	-	0	30.06	-	29.95	-	0	-
4	67	64	60	56	54	52	77	-	53	14	-	0	30.06	-	29.92	-	0	-
5	67	64	60	55	54	52	73	-	54	15	-	2	30.09	-	29.98	-	0	-
6	66	64	61	55	54	52	77	-	53	18	-	4	30.12	-	30.04	-	0	-
7	65	63	61	55	52	50	77	-	50	54	-	2	30.12	-	30.06	-	0	-
8	64	62	60	52	51	50	72	-	52	14	-	0	30.12	-	30.01	-	0	-
9	63	61	59	52	51	50	77	-	54	13	-	2	30.09	-	30.04	-	0	-
10	63	61	59	54	51	50	77	-	57	13	-	0	30.12	-	30.01	-	0	-
11	65	56	48	54	52	39	82	-	57	10	-	0	30.15	-	29.95	-	0	-
12	68	64	59	57	54	52	73	-	53	15	-	5	30.09	-	30.01	-	0	-
13	69	64	60	59	55	50	83	-	56	12	-	0	30.1	-	30.04	-	0	-
14	69	62	56	59	54	48	83	-	58	18	-	0	30.07	-	30.01	-	0	-
15	67	63	59	57	55	54	88	-	59	14	-	5	30.12	-	30.04	-	0	-
16	64	62	61	54	52	51	72	-	55	9	-	0	30.09	-	29.98	-	0	-
17	66	64	62	54	52	51	68	-	55	7	-	0	30.09	-	29.98	-	0	-
18	65	62	59	52	51	50	72	-	53	13	-	0	30.06	-	29.98	-	0	-
19	66	60	55	54	51	46	77	-	50	13	-	0	30.09	-	30.01	-	0	-
20	64	60	55	54	51	48	77	-	56	15	-	0	30.09	-	30.01	-	0	-
21	63	61	59	54	51	48	77	-	54	9	-	0	30.07	-	29.98	-	0	-
22	64	62	59	54	50	48	77	-	52	15	-	0	30.07	-	29.95	-	0	-
23	63	62	60	52	50	50	72	-	52	8	-	0	30.07	-	30.01	-	0	-
24	65	62	60	52	49	46	68	-	40	10	-	0	30.09	-	30.04	-	0	-
25	66	63	60	55	52	48	77	-	54	13	-	0	30.09	-	29.98	-	0	-
26	67	60	54	55	51	45	82	-	46	17	-	0	30.09	-	29.98	-	0	-
